YEAR,#ANN
1901,1030.8
1902,1038.4
1903,1195.9
1904,1025.1
1905,977.5
1906,1149.2
1907,1034.8
1908,1077.4
1909,1128.5
1910,1183.9
1911,1028.9
1912,1070.4
1913,1061.8
1914,1185.9
1915,1124.4
1916,1324.8
1917,1463.9
1918,1020.2
1919,1287.9
1920,1039.1
1921,1225
1922,1204.2
1923,1148.6
1924,1245.9
1925,1189.5
1926,1226.2
1927,1244.6
1928,1200.2
1929,1193.2
1930,1198.5
1931,1292.8
1932,1202.9
1933,1372
1934,1217.5
1935,1127.9
1936,1321.8
1937,1204.4
1938,1290.5
1939,1111.6
1940,1201.3
1941,1073.9
1942,1272.9
1943,1269.2
1944,1298.5
1945,1222
1946,1337.2
1947,1236.3
1948,1342.2
1949,1269.6
1950,1174.2
1951,1060.6
1952,1110.1
1953,1222.1
1954,1181.4
1955,1275.4
1956,1362.6
1957,1131.9
1958,1312.3
1959,1376.9
1960,1154.8
1961,1399.2
1962,1198
1963,1220.9
1964,1244.4
1965,947.4
1966,1058
1967,1154
1968,1059.3
1969,1147.8
1970,1255
1971,1216.9
1972,947.1
1973,1219.5
1974,1055.3
1975,1294.8
1976,1131.6
1977,1269.7
1978,1237.2
1979,1030.2
1980,1182.3
1981,1170.7
1982,1084.4
1983,1320.9
1984,1160.8
1985,1144.9
1986,1137.6
1987,1088.9
1988,1342.1
1989,1127.4
1990,1401.4
1991,1170.2
1992,1102.7
1993,1207.8
1994,1295.3
1995,1242.4
1996,1182.9
1997,1183.1
1998,1208.8
1999,1116.6
2000,1035.4
2001,1105.2
2002,981.9
2003,1243.6
2004,1080.5
2005,1208.3
2006,1161.6
2007,1179.3
2008,1118
2009,953.7
2010,1215.5
2011,1116.3
2012,1054.7
2013,1092.5
2014,1045.2
