YEAR,RAIN
01-1901,34.7
02-1901,38.6
03-1901,17.8
04-1901,38.9
05-1901,50.6
06-1901,113.2
07-1901,241.4
08-1901,271.6
09-1901,124.7
10-1901,52.4
11-1901,38.7
12-1901,8.2
01-1902,7.4
02-1902,4.2
03-1902,19
04-1902,44.1
05-1902,48.8
06-1902,111.7
07-1902,284.9
08-1902,201
09-1902,200.2
10-1902,62.5
11-1902,29.4
12-1902,25.2
01-1903,16.7
02-1903,8
03-1903,31.1
04-1903,17.1
05-1903,59.5
06-1903,120.3
07-1903,293.2
08-1903,274
09-1903,198.1
10-1903,119.5
11-1903,40.3
12-1903,18
01-1904,14.9
02-1904,9.7
03-1904,31.4
04-1904,33.7
05-1904,73.8
06-1904,165.5
07-1904,260.3
08-1904,207.7
09-1904,130.8
10-1904,69.8
11-1904,11.2
12-1904,16.4
01-1905,24.7
02-1905,20.3
03-1905,41.8
04-1905,33.8
05-1905,55.8
06-1905,93.7
07-1905,253
08-1905,201.7
09-1905,178.1
10-1905,54.9
11-1905,9.6
12-1905,10.1
01-1906,21.4
02-1906,49.9
03-1906,31.4
04-1906,15.8
05-1906,37.2
06-1906,177
07-1906,286.5
08-1906,251.4
09-1906,183.9
10-1906,50.6
11-1906,17.7
12-1906,26.3
01-1907,16
02-1907,45.5
03-1907,37.4
04-1907,62
05-1907,32.7
06-1907,153.1
07-1907,225.4
08-1907,308.3
09-1907,95.4
10-1907,23
11-1907,23.1
12-1907,12.9
01-1908,19.9
02-1908,17.1
03-1908,8.3
04-1908,31
05-1908,45.4
06-1908,125.6
07-1908,320.5
08-1908,306
09-1908,150.8
10-1908,38.4
11-1908,6.8
12-1908,7.4
01-1909,22.7
02-1909,15.2
03-1909,6.6
04-1909,61.6
05-1909,51.2
06-1909,207.2
07-1909,302.3
08-1909,228.7
09-1909,157.7
10-1909,37.5
11-1909,10
12-1909,27.9
01-1910,13.5
02-1910,10.3
03-1910,13.7
04-1910,29
05-1910,40.8
06-1910,211.9
07-1910,247.2
08-1910,283.4
09-1910,185.9
10-1910,108.2
11-1910,34.6
12-1910,5.4
01-1911,40.4
02-1911,5.5
03-1911,43
04-1911,23.1
05-1911,48.2
06-1911,191.3
07-1911,163.1
08-1911,209.9
09-1911,178.5
10-1911,71.5
11-1911,42.4
12-1911,12.1
01-1912,20.3
02-1912,21.6
03-1912,19.9
04-1912,37.9
05-1912,43.8
06-1912,107.1
07-1912,326.3
08-1912,259.2
09-1912,119.2
10-1912,58.2
11-1912,51.7
12-1912,5.3
01-1913,6.3
02-1913,38.1
03-1913,23.7
04-1913,25.7
05-1913,72.9
06-1913,214.8
07-1913,269.8
08-1913,192.6
09-1913,109.6
10-1913,68.6
11-1913,16.8
12-1913,23.2
01-1914,5
02-1914,26.9
03-1914,25.4
04-1914,42.8
05-1914,67.9
06-1914,157
07-1914,342
08-1914,239.7
09-1914,191.3
10-1914,45.5
11-1914,20.7
12-1914,21.6
01-1915,19.8
02-1915,37.5
03-1915,44.1
04-1915,33.6
05-1915,63.9
06-1915,155.1
07-1915,227.9
08-1915,226.9
09-1915,171.7
10-1915,90.5
11-1915,45.2
12-1915,8.2
01-1916,4.6
02-1916,20.1
03-1916,11
04-1916,35.2
05-1916,59.4
06-1916,232
07-1916,265
08-1916,309.7
09-1916,199.6
10-1916,139.2
11-1916,46.3
12-1916,2.9
01-1917,7.6
02-1917,37.9
03-1917,20.5
04-1917,40.1
05-1917,74
06-1917,230.7
07-1917,282.7
08-1917,292.8
09-1917,278.1
10-1917,161.3
11-1917,29.1
12-1917,9.3
01-1918,11.8
02-1918,4
03-1918,36.6
04-1918,35.8
05-1918,103.6
06-1918,212.3
07-1918,183.8
08-1918,240.9
09-1918,111.8
10-1918,19.5
11-1918,44.7
12-1918,15.5
01-1919,48.8
02-1919,20.2
03-1919,19.1
04-1919,32.7
05-1919,59.5
06-1919,194.7
07-1919,304.6
08-1919,285.3
09-1919,163.1
10-1919,91.5
11-1919,50.1
12-1919,18.2
01-1920,23.9
02-1920,21.3
03-1920,55.1
04-1920,38.2
05-1920,52.5
