Year,Rain
1901,839.196
1902,885.426
1903,1207.198
1904,772.655
1905,707.271
1906,908.493
1907,783.518
1908,528.732
1909,948.122
1910,1004.432
1911,730.049
1912,856.961
1913,578.097
1914,693.868
1915,826.053
1916,1239.555
1917,862.039
1918,683.766
1919,952.05
1920,592.117
1921,814.067
1922,822.288
1923,588.502
1924,683.451
1925,768.307
1926,674.042
1927,580.463
1928,922.159
1929,776.576
1930,974.938
1931,637.935
1932,936.44
1933,1089.707
1934,662.077
1935,900.988
1936,821.416
1937,807.853
1938,658.934
1939,876.928
1940,985.239
1941,793.846
1942,733.979
1943,1067.055
1944,877.299
1945,555.482
1946,983.474
1947,728.105
1948,892.919
1949,848.229
1950,738.061
1951,783.783
1952,728.705
1953,1003.849
1954,838.3
1955,852.992
1956,914.995
1957,715.581
1958,1015.276
1959,862.46
1960,805.08
1961,841.178
1962,987.809
1963,865.976
1964,1089.027
1965,556.088
1966,1182.929
1967,696.461
1968,725.312
1969,1020.702
1970,863.189
1971,825.656
1972,850.93
1973,810.674
1974,788.415
1975,1002.065
1976,629.694
1977,1038.282
1978,749.111
1979,1039.553
1980,719.099
1981,838.17
1982,593.735
1983,831.284
1984,742.65
1985,604.686
1986,906.76
1987,729.308
1988,1041.755
1989,864.628
1990,698.485
1991,996.754
1992,819.437
1993,933.128
1994,602.847
1995,941.275
1996,1081.408
1997,1091.201
1998,1218.563
1999,922.834
2000,1000.767
2001,731.834
2002,748.194
