Year,Rain
1901,359.178
1902,343.139
1903,590.516
1904,301.315
1905,302.291
1906,585.062
1907,450.557
1908,254.699
1909,396.788
1910,561.57
1911,246.476
1912,521.527
1913,376.54
1914,280.617
1915,435.596
1916,576.488
1917,495.634
1918,228.189
1919,429.022
1920,329.654
1921,361.648
1922,231.085
1923,315.605
1924,439.178
1925,293.063
1926,345.734
1927,376.938
1928,368.998
1929,228.486
1930,344.392
1931,356.551
1932,349.945
1933,467.602
1934,194.555
1935,515.653
1936,396.025
1937,304.842
1938,507.688
1939,342.818
1940,309.505
1941,363.448
1942,345.186
1943,314.283
1944,429.393
1945,288.224
1946,386.488
1947,415.62
1948,396.272
1949,516.319
1950,311.611
1951,405.246
1952,332.477
1953,475.375
1954,375.387
1955,350.108
1956,374.736
1957,225.721
1958,456.706
1959,509.844
1960,377.02
1961,369.6
1962,365.749
1963,362.632
1964,622.93
1965,339.399
1966,501.112
1967,375.411
1968,398.743
1969,321.412
1970,347.472
1971,395.852
1972,327.616
1973,446.638
1974,424.927
1975,511.115
1976,230.868
1977,359.968
1978,357.593
1979,573.475
1980,369.85
1981,422.206
1982,324.389
1983,556.093
1984,369.769
1985,292.953
1986,547.878
1987,305.193
1988,668.767
1989,508.581
1990,240.159
1991,432.261
1992,488.954
1993,456.934
1994,243.255
1995,507.458
1996,632.766
1997,385.208
1998,675.453
1999,340.676
2000,515.488
2001,347.868
2002,294.591
