Year,Rain
01+AC0-1901,5.751
02+AC0-1901,17.962
03+AC0-1901,1.671
04+AC0-1901,32.943
05+AC0-1901,152.546
06+AC0-1901,51.988
07+AC0-1901,61.298
08+AC0-1901,43.09
09+AC0-1901,202.802
10+AC0-1901,162.43
11+AC0-1901,75.6
12+AC0-1901,31.115
01+AC0-1902,3.18
02+AC0-1902,0.147
03+AC0-1902,10.39
04+AC0-1902,64.579
05+AC0-1902,131.825
06+AC0-1902,67.362
07+AC0-1902,58.874
08+AC0-1902,90.433
09+AC0-1902,126.47
10+AC0-1902,266.22
11+AC0-1902,33.664
12+AC0-1902,32.282
01+AC0-1903,0.029
02+AC0-1903,0.044
03+AC0-1903,0
04+AC0-1903,6.838
05+AC0-1903,120.036
06+AC0-1903,106.502
07+AC0-1903,61.679
08+AC0-1903,131.82
09+AC0-1903,290.515
10+AC0-1903,209.098
11+AC0-1903,254.86
12+AC0-1903,25.777
01+AC0-1904,1.789
02+AC0-1904,0
03+AC0-1904,1.008
04+AC0-1904,33.679
05+AC0-1904,260.981
06+AC0-1904,47.495
07+AC0-1904,126.609
08+AC0-1904,37.193
09+AC0-1904,90.018
10+AC0-1904,170.96
11+AC0-1904,1.36
12+AC0-1904,1.563
01+AC0-1905,5.287
02+AC0-1905,1.564
03+AC0-1905,32.979
04+AC0-1905,32.857
05+AC0-1905,105.738
06+AC0-1905,61.883
07+AC0-1905,48.123
08+AC0-1905,157.774
09+AC0-1905,34.511
10+AC0-1905,191.473
11+AC0-1905,33.501
12+AC0-1905,1.581
01+AC0-1906,8.758
02+AC0-1906,8.955
03+AC0-1906,10.297
04+AC0-1906,2.88
05+AC0-1906,37.661
06+AC0-1906,93.893
07+AC0-1906,119.525
08+AC0-1906,243.252
09+AC0-1906,128.392
10+AC0-1906,185.76
11+AC0-1906,31.089
12+AC0-1906,38.031
01+AC0-1907,14.645
02+AC0-1907,0
03+AC0-1907,23.216
04+AC0-1907,129.049
05+AC0-1907,60.491
06+AC0-1907,102.468
07+AC0-1907,152.521
08+AC0-1907,60.127
09+AC0-1907,135.441
10+AC0-1907,40.744
11+AC0-1907,51.773
12+AC0-1907,13.043
01+AC0-1908,9.443
02+AC0-1908,2.543
03+AC0-1908,14.343
04+AC0-1908,22.957
05+AC0-1908,150.056
06+AC0-1908,48.616
07+AC0-1908,80.896
08+AC0-1908,39.517
09+AC0-1908,85.67
10+AC0-1908,69.615
11+AC0-1908,2.586
12+AC0-1908,2.49
01+AC0-1909,13.974
02+AC0-1909,0.095
03+AC0-1909,0.854
04+AC0-1909,113.594
05+AC0-1909,218.051
06+AC0-1909,34.684
07+AC0-1909,53.705
08+AC0-1909,208.834
09+AC0-1909,99.565
10+AC0-1909,179.679
11+AC0-1909,20.895
12+AC0-1909,4.192
01+AC0-1910,0
02+AC0-1910,1.03
03+AC0-1910,1.537
04+AC0-1910,13.959
05+AC0-1910,56.882
06+AC0-1910,79.855
07+AC0-1910,208.349
08+AC0-1910,188.479
09+AC0-1910,84.887
10+AC0-1910,244.043
11+AC0-1910,125.194
12+AC0-1910,0.217
01+AC0-1911,0.059
02+AC0-1911,0.073
03+AC0-1911,29.942
04+AC0-1911,38.888
05+AC0-1911,122.637
06+AC0-1911,77.826
07+AC0-1911,117.393
08+AC0-1911,25.769
09+AC0-1911,25.488
10+AC0-1911,236.393
11+AC0-1911,40.549
12+AC0-1911,15.032
01+AC0-1912,3.011
02+AC0-1912,1.878
03+AC0-1912,20.447
04+AC0-1912,8.425
05+AC0-1912,75.317
06+AC0-1912,101.183
07+AC0-1912,93.33
08+AC0-1912,89.829
09+AC0-1912,237.185
10+AC0-1912,168.075
11+AC0-1912,58.049
12+AC0-1912,0.232
01+AC0-1913,0
02+AC0-1913,0
03+AC0-1913,1.51
04+AC0-1913,7.302
05+AC0-1913,103.201
06+AC0-1913,69.425
07+AC0-1913,116.195
08+AC0-1913,33.726
09+AC0-1913,157.194
10+AC0-1913,73.137
11+AC0-1913,8.324
12+AC0-1913,8.083
01+AC0-1914,0.823
02+AC0-1914,1.364
03+AC0-1914,1.204
04+AC0-1914,77.379
05+AC0-1914,84.179
06+AC0-1914,40.129
07+AC0-1914,86.574
08+AC0-1914,84.648
09+AC0-1914,69.266
10+AC0-1914,163.06
11+AC0-1914,72.124
12+AC0-1914,13.118
01+AC0-1915,6.882
02+AC0-1915,0.547
03+AC0-1915,45.859
04+AC0-1915,40.364
05+AC0-1915,109.766
06+AC0-1915,167.681
07+AC0-1915,94.662
08+AC0-1915,38.857
09+AC0-1915,134.396
10+AC0-1915,86.442
11+AC0-1915,94.094
12+AC0-1915,6.503
01+AC0-1916,0
02+AC0-1916,0.059
03+AC0-1916,0
04+AC0-1916,19.776
05+AC0-1916,200.295
06+AC0-1916,45.518
07+AC0-1916,234.102
08+AC0-1916,195.805
09+AC0-1916,101.063
10+AC0-1916,183.601
11+AC0-1916,254.562
12+AC0-1916,4.774
01+AC0-1917,0.531
02+AC0-1917,16.915
03+AC0-1917,3.666
04+AC0-1917,33.24
05+AC0-1917,108.03
06+AC0-1917,96.66
07+AC0-1917,47.493
08+AC0-1917,165.651
09+AC0-1917,185.83
10+AC0-1917,131.138
11+AC0-1917,69
12+AC0-1917,3.885
01+AC0-1918,12.779
02+AC0-1918,2.811
03+AC0-1918,30.534
04+AC0-1918,40.081
05+AC0-1918,176.127
06+AC0-1918,34.507
07+AC0-1918,21.041
08+AC0-1918,72.412
09+AC0-1918,100.229
10+AC0-1918,24.023
11+AC0-1918,138.527
12+AC0-1918,30.695
01+AC0-1919,14.236
02+AC0-1919,0
03+AC0-1919,3.278
04+AC0-1919,53.378
05+AC0-1919,186.873
06+AC0-1919,84.681
07+AC0-1919,98.861
08+AC0-1919,56.534
09+AC0-1919,188.946
10+AC0-1919,75.596
11+AC0-1919,166.985
12+AC0-1919,22.682
01+AC0-1920,10.383
02+AC0-1920,0.193
03+AC0-1920,2.849
04+AC0-1920,37.435
05+AC0-1920,71.834
06+AC0-1920,79.228
07+AC0-1920,38.735
08+AC0-1920,86.36
09+AC0-1920,125.331
10+AC0-1920,77.859
11+AC0-1920,61.693
12+AC0-1920,0.217
01+AC0-1921,16.648
02+AC0-1921,0
03+AC0-1921,0.128
04+AC0-1921,108.952
05+AC0-1921,77.875
06+AC0-1921,81.467
07+AC0-1921,102.337
08+AC0-1921,119.931
09+AC0-1921,57.913
10+AC0-1921,154.382
11+AC0-1921,93.817
12+AC0-1921,0.617
01+AC0-1922,8.069
02+AC0-1922,2.089
03+AC0-1922,0
04+AC0-1922,22.372
05+AC0-1922,137.904
06+AC0-1922,67.695
07+AC0-1922,64.814
08+AC0-1922,62.909
09+AC0-1922,35.667
10+AC0-1922,237.148
11+AC0-1922,179.234
12+AC0-1922,4.387
01+AC0-1923,11.496
02+AC0-1923,0.084
03+AC0-1923,39.238
04+AC0-1923,70.625
05+AC0-1923,90.377
06+AC0-1923,59.502
07+AC0-1923,89.275
08+AC0-1923,47.92
09+AC0-1923,118.908
10+AC0-1923,52.539
11+AC0-1923,5.112
12+AC0-1923,3.426
01+AC0-1924,0.981
02+AC0-1924,0.402
03+AC0-1924,1.152
04+AC0-1924,39.521
05+AC0-1924,98.727
06+AC0-1924,105.326
07+AC0-1924,111.312
08+AC0-1924,115.798
09+AC0-1924,106.742
10+AC0-1924,50.257
11+AC0-1924,50.264
12+AC0-1924,2.969
01+AC0-1925,0.601
02+AC0-1925,0.264
03+AC0-1925,9.494
04+AC0-1925,81.912
05+AC0-1925,220.024
06+AC0-1925,31.297
07+AC0-1925,82.435
08+AC0-1925,76.162
09+AC0-1925,103.169
10+AC0-1925,57.642
11+AC0-1925,62.854
12+AC0-1925,42.453
01+AC0-1926,10.926
02+AC0-1926,0
03+AC0-1926,13.737
04+AC0-1926,118.635
05+AC0-1926,59.406
06+AC0-1926,58.796
07+AC0-1926,72.835
08+AC0-1926,50.885
09+AC0-1926,163.218
10+AC0-1926,119.051
11+AC0-1926,3.938
12+AC0-1926,2.615
01+AC0-1927,0
02+AC0-1927,5.427
