Year,Rain
1901,1435.606
1902,1311.0980000000002
1903,1996.899
1904,611.492
1905,1080.11
1906,1215.7730000000001
1907,1007.9950000000001
1908,1137.9959999999999
1909,909.671
1910,1118.4309999999998
1911,931.799
1912,1333.6480000000001
1913,1218.1680000000001
1914,1324.335
1915,1205.915
1916,1188.464
1917,1159.4540000000002
1918,1419.269
1919,1187.6919999999998
1920,1159.676
1921,1188.3819999999998
1922,1436.348
1923,697.0540000000001
1924,1041.2659999999998
1925,1437.48
1926,713.143
1927,858.11
1928,1233.581
1929,1042.775
1930,1708.9750000000001
1931,1378.476
1932,950.9270000000001
1933,846.138
1934,979.6379999999999
1935,1023.888
1936,1029.457
1937,1386.322
1938,817.17
1939,904.867
1940,1242.282
1941,1244.076
1942,800.559
1943,1618.6940000000002
1944,1590.176
1945,897.37
1946,1938.31
1947,780.881
1948,890.595
1949,996.2819999999999
1950,774.492
1951,707.5880000000001
1952,873.3009999999999
1953,963.751
1954,980.2879999999999
1955,1198.965
1956,1257.903
1957,997.7279999999998
1958,1169.172
1959,959.5740000000001
1960,1403.4779999999998
1961,1130.171
1962,1256.481
1963,1199.694
1964,1162.058
1965,1172.14
1966,1576.317
1967,1246.3319999999999
1968,733.2429999999999
1969,1372.513
1970,1140.9650000000001
1971,1068.923
1972,1373.176
1973,960.332
1974,865.453
1975,1306.012
1976,1628.862
1977,1454.114
1978,1374.062
1979,1234.909
1980,974.252
1981,1265.3629999999998
1982,881.11
1983,1362.95
1984,1217.832
1985,1798.508
1986,948.9200000000001
1987,1091.6529999999998
1988,1388.1190000000001
1989,1199.9279999999999
1990,1123.672
1991,1009.509
1992,946.1020000000001
1993,1494.6399999999999
1994,1168.8300000000002
1995,1217.903
1996,1511.767
1997,1498.544
1998,1076.9569999999999
1999,912.405
2000,1022.4430000000001
2001,1204.527
2002,1111.636
