Month,Rain
01-1901,40.45
02-1901,62.435
03-1901,0.353
04-1901,1.353
05-1901,12.457
06-1901,18.408
07-1901,131.688
08-1901,162.222
09-1901,120.167
10-1901,198.434
11-1901,304.773
12-1901,382.866
01-1902,31.613
02-1902,15.289
03-1902,0.023
04-1902,2.571
05-1902,15.495
06-1902,21.186
07-1902,89.26
08-1902,139.28
09-1902,163.452
10-1902,432.433
11-1902,206.519
12-1902,193.977
01-1903,60.546
02-1903,13.373
03-1903,0
04-1903,0
05-1903,165.018
06-1903,52.657
07-1903,102.674
08-1903,163.47
09-1903,289.82
10-1903,192.455
11-1903,490.54
12-1903,466.346
01-1904,30.51
02-1904,0
03-1904,0
04-1904,0
05-1904,40.575
06-1904,14.577
07-1904,151.738
08-1904,64.338
09-1904,96.402
10-1904,134.355
11-1904,10.692
12-1904,68.305
01-1905,23.1
02-1905,39.407
03-1905,22.514
04-1905,30.526
05-1905,9.865
06-1905,43.271
07-1905,59.71
08-1905,173.428
09-1905,60.562
10-1905,402.585
11-1905,206.647
12-1905,8.495
01-1906,39.448
02-1906,40.595
03-1906,27.133
04-1906,0
05-1906,4.223
06-1906,61.342
07-1906,109.492
08-1906,168.051
09-1906,186.644
10-1906,92.509
11-1906,136.345
12-1906,349.991
01-1907,0.665
02-1907,0
03-1907,1.235
04-1907,19.613
05-1907,2.423
06-1907,54.107
07-1907,74.128
08-1907,84.294
09-1907,79.345
10-1907,235.806
11-1907,336.737
12-1907,119.642
01-1908,1.059
02-1908,27.617
03-1908,0
04-1908,0.493
05-1908,10.029
06-1908,19.715
07-1908,70.192
08-1908,104.752
09-1908,238.336
10-1908,438.157
11-1908,191.432
12-1908,36.214
01-1909,70.49
02-1909,4.06
03-1909,0
04-1909,43.033
05-1909,140.127
06-1909,32.091
07-1909,91.625
08-1909,181.595
09-1909,208.334
10-1909,49.23
11-1909,75.178
12-1909,13.908
01-1910,1.377
02-1910,2.493
03-1910,0
04-1910,6.93
05-1910,17.904
06-1910,60.275
07-1910,195.449
08-1910,140.857
09-1910,112.382
10-1910,259.917
11-1910,319.412
12-1910,1.435
01-1911,0.023
02-1911,0
03-1911,0.312
04-1911,5.809
05-1911,8.677
06-1911,19.859
07-1911,54.572
08-1911,72.43
09-1911,180.731
10-1911,124.225
11-1911,267.289
12-1911,197.872
01-1912,18.745
02-1912,0
03-1912,0
