Year,Rain
1901,3108.2120000000004
1902,3569.9909999999995
1903,3455.3350000000005
1904,3613.3980000000006
1905,3495.6699999999996
1906,3309.808
1907,3411.279
1908,2801.278
1909,3199.021
1910,3315.853
1911,4111.144
1912,3682.6599999999994
1913,3517.522000000001
1914,3280.362
1915,4175.097000000001
1916,3310.949
1917,3919.8999999999996
1918,4022.292999999999
1919,3107.8210000000004
1920,3037.486
1921,4177.148999999999
1922,3158.2449999999994
1923,3133.358999999999
1924,3630.6220000000003
1925,3186.123
1926,2794.6420000000003
1927,3611.967
1928,3182.967
1929,3639.6549999999993
1930,3455.9399999999996
1931,3989.785999999999
1932,3387.0209999999997
1933,2835.211
1934,4382.036999999998
1935,3238.8400000000006
1936,3337.776
1937,3541.9570000000003
1938,3863.4069999999997
1939,3102.5359999999996
1940,3476.409
1941,3728.128
1942,3420.5919999999996
1943,3614.2329999999997
1944,2667.4680000000003
1945,3434.605
1946,3574.801
1947,3804.8019999999997
1948,4091.494
1949,4058.3829999999994
1950,3057.176
1951,3903.091
1952,3874.3419999999996
1953,3530.317
1954,3857.511
1955,3621.993
1956,4327.191000000001
1957,3388.878
1958,3321.125
1959,3454.0209999999993
1960,3055.9020000000005
1961,3492.454
1962,2370.4819999999995
1963,3483.586
1964,3703.606
1965,3586.3579999999997
1966,3474.2650000000003
1967,2803.253
1968,3553.553
1969,3236.5939999999996
1970,4448.402
1971,3031.3800000000006
1972,3002.9350000000004
1973,3579.0599999999995
1974,5429.844
1975,3385.0769999999998
1976,3047.3999999999996
1977,4607.547
1978,2886.875
1979,3246.3510000000006
1980,2483.972
1981,2301.267
1982,3299.037
1983,3515.1369999999993
1984,4669.3099999999995
1985,3431.102
1986,2925.8689999999997
1987,3683.578
1988,4737.123000000001
1989,4038.09
1990,3531.9940000000006
1991,4117.968000000001
1992,3784.671
1993,4396.398
1994,3090.511
1995,3481.117
1996,3551.8869999999997
1997,2758.339
1998,3220.1279999999997
1999,3385.252
2000,3377.3749999999995
2001,3423.7769999999996
2002,3532.622
