
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1901"	"25.497"	"3.029"	"36.422"	"295.181"	"201.067"	"768.032"	"518.724"	"490.645"	"375.127"	"250.052"	"137.257"	"7.179"
"1902"	"0.766"	"0.727"	"171.214"	"451.127"	"363.955"	"864.476"	"669.251"	"590.025"	"408.27"	"49.435"	"0.729"	"0.016"
"1903"	"5.419"	"26.859"	"131.312"	"172.864"	"360.129"	"908.871"	"455.868"	"806.898"	"344.088"	"176.027"	"66.965"	"0.035"
"1904"	"1.502"	"50.186"	"34.049"	"505.401"	"560.069"	"829.115"	"661.859"	"576.231"	"215.698"	"142.485"	"35.264"	"1.539"
"1905"	"9.099"	"10.171"	"99.875"	"219.724"	"481.231"	"513.453"	"474.629"	"994.423"	"453.45"	"214.476"	"12.219"	"12.92"
"1906"	"8.873"	"57.251"	"67.593"	"258.602"	"296.994"	"517.255"	"817.2"	"588.087"	"431.369"	"241.209"	"25.359"	"0.016"
"1907"	"28.768"	"50.016"	"189.838"	"336.733"	"338.563"	"864.484"	"789.034"	"395.645"	"383.955"	"27.033"	"0.32"	"6.89"
"1908"	"6.465"	"10.126"	"17.132"	"216.154"	"562.102"	"666.32"	"466.87"	"413.786"	"376.614"	"57.56"	"8.133"	"0.016"
"1909"	"4.5"	"7.155"	"1.382"	"249.22"	"544.208"	"982.664"	"534.255"	"455.439"	"200.251"	"209.864"	"7.357"	"2.726"
"1910"	"4.702"	"21.392"	"176.728"	"262.441"	"348.672"	"786.946"	"876.996"	"476.793"	"129.326"	"200.738"	"30.047"	"1.072"
"1911"	"33.559"	"9.829"	"47.505"	"273.713"	"623.048"	"888.177"	"646.832"	"683.767"	"536.593"	"348.422"	"19.522"	"0.177"
"1912"	"2.302"	"56.047"	"127.508"	"378.35"	"331.536"	"892.929"	"705.661"	"699.841"	"215.071"	"207.932"	"57.551"	"7.932"
"1913"	"2.095"	"59.714"	"98.07"	"320.555"	"558.796"	"710.418"	"525.077"	"466.242"	"340.755"	"390.159"	"2.982"	"42.659"
"1914"	"0.224"	"47.023"	"34.384"	"313.891"	"394.656"	"693.796"	"660.14"	"759.516"	"318.72"	"38.816"	"15.67"	"3.526"
"1915"	"3.016"	"47.86"	"116.683"	"214.597"	"1062.371"	"902.055"	"878.65"	"624.094"	"242.222"	"76.727"	"6.51"	"0.312"
"1916"	"2.663"	"11.508"	"105.783"	"262.441"	"552.443"	"513.942"	"483.885"	"585.196"	"283.082"	"440.579"	"69.138"	"0.289"
"1917"	"0.456"	"54.174"	"32.403"	"224.097"	"276.349"	"803.804"	"1098.864"	"586.387"	"456.504"	"294.008"	"92.844"	"0.01"
"1918"	"0.581"	"13.606"	"72.39"	"117.411"	"429.068"	"1060.761"	"961.404"	"833.997"	"423.488"	"107.624"	"1.758"	"0.205"
