Month,Rain
01-1901,25.497
02-1901,3.029
03-1901,36.422
04-1901,295.181
05-1901,201.067
06-1901,768.032
07-1901,518.724
08-1901,490.645
09-1901,375.127
10-1901,250.052
11-1901,137.257
12-1901,7.179
01-1902,0.766
02-1902,0.727
03-1902,171.214
04-1902,451.127
05-1902,363.955
06-1902,864.476
07-1902,669.251
08-1902,590.025
09-1902,408.27
10-1902,49.435
11-1902,0.729
12-1902,0.016
01-1903,5.419
02-1903,26.859
03-1903,131.312
04-1903,172.864
05-1903,360.129
06-1903,908.871
07-1903,455.868
08-1903,806.898
09-1903,344.088
10-1903,176.027
11-1903,66.965
12-1903,0.035
01-1904,1.502
02-1904,50.186
03-1904,34.049
04-1904,505.401
05-1904,560.069
06-1904,829.115
07-1904,661.859
08-1904,576.231
09-1904,215.698
10-1904,142.485
11-1904,35.264
12-1904,1.539
01-1905,9.099
02-1905,10.171
03-1905,99.875
04-1905,219.724
05-1905,481.231
06-1905,513.453
07-1905,474.629
08-1905,994.423
09-1905,453.45
10-1905,214.476
11-1905,12.219
12-1905,12.92
01-1906,8.873
02-1906,57.251
03-1906,67.593
04-1906,258.602
05-1906,296.994
06-1906,517.255
07-1906,817.2
08-1906,588.087
09-1906,431.369
10-1906,241.209
11-1906,25.359
12-1906,0.016
01-1907,28.768
02-1907,50.016
03-1907,189.838
04-1907,336.733
05-1907,338.563
06-1907,864.484
07-1907,789.034
08-1907,395.645
09-1907,383.955
10-1907,27.033
11-1907,0.32
12-1907,6.89
01-1908,6.465
02-1908,10.126
03-1908,17.132
04-1908,216.154
05-1908,562.102
06-1908,666.32
07-1908,466.87
08-1908,413.786
09-1908,376.614
10-1908,57.56
11-1908,8.133
12-1908,0.016
01-1909,4.5
02-1909,7.155
03-1909,1.382
04-1909,249.22
05-1909,544.208
06-1909,982.664
07-1909,534.255
08-1909,455.439
09-1909,200.251
10-1909,209.864
11-1909,7.357
12-1909,2.726
01-1910,4.702
02-1910,21.392
03-1910,176.728
04-1910,262.441
05-1910,348.672
06-1910,786.946
07-1910,876.996
08-1910,476.793
09-1910,129.326
10-1910,200.738
11-1910,30.047
12-1910,1.072
01-1911,33.559
02-1911,9.829
03-1911,47.505
04-1911,273.713
05-1911,623.048
06-1911,888.177
07-1911,646.832
08-1911,683.767
09-1911,536.593
10-1911,348.422
11-1911,19.522
12-1911,0.177
01-1912,2.302
02-1912,56.047
03-1912,127.508
04-1912,378.35
05-1912,331.536
06-1912,892.929
07-1912,705.661
08-1912,699.841
09-1912,215.071
10-1912,207.932
11-1912,57.551
12-1912,7.932
01-1913,2.095
02-1913,59.714
03-1913,98.07
04-1913,320.555
05-1913,558.796
06-1913,710.418
07-1913,525.077
08-1913,466.242
09-1913,340.755
10-1913,390.159
11-1913,2.982
12-1913,42.659
01-1914,0.224
02-1914,47.023
03-1914,34.384
04-1914,313.891
05-1914,394.656
06-1914,693.796
07-1914,660.14
08-1914,759.516
09-1914,318.72
10-1914,38.816
11-1914,15.67
12-1914,3.526
01-1915,3.016
02-1915,47.86
03-1915,116.683
04-1915,214.597
05-1915,1062.371
06-1915,902.055
07-1915,878.65
08-1915,624.094
09-1915,242.222
10-1915,76.727
11-1915,6.51
12-1915,0.312
01-1916,2.663
02-1916,11.508
03-1916,105.783
04-1916,262.441
05-1916,552.443
06-1916,513.942
07-1916,483.885
08-1916,585.196
09-1916,283.082
10-1916,440.579
11-1916,69.138
12-1916,0.289
01-1917,0.456
02-1917,54.174
03-1917,32.403
04-1917,224.097
05-1917,276.349
06-1917,803.804
07-1917,1098.864
08-1917,586.387
09-1917,456.504
10-1917,294.008
11-1917,92.844
12-1917,0.01
01-1918,0.581
02-1918,13.606
03-1918,72.39
04-1918,117.411
05-1918,429.068
06-1918,1060.761
07-1918,961.404
08-1918,833.997
09-1918,423.488
10-1918,107.624
11-1918,1.758
12-1918,0.205
01-1919,11.242
02-1919,5.923
03-1919,10.383
04-1919,199.455
05-1919,311.831
06-1919,717.745
07-1919,672.961
08-1919,361.529
09-1919,543.17
10-1919,234.233
11-1919,39.314
12-1919,0.035
01-1920,9.279
02-1920,22.375
03-1920,172.818
04-1920,214.232
05-1920,355.261
06-1920,655.559
07-1920,483.339
08-1920,525.811
09-1920,489.761
10-1920,108.122
11-1920,0.4
12-1920,0.529
01-1921,30.189
02-1921,15.902
03-1921,110.066
04-1921,459.855
05-1921,718.338
06-1921,785.998
07-1921,1007.349
08-1921,657.442
09-1921,254.518
10-1921,125.86
11-1921,10.333
12-1921,1.299
01-1922,8.151
02-1922,2.996
03-1922,53.821
04-1922,178.864
05-1922,362.282
06-1922,760.473
07-1922,638.206
08-1922,647.318
09-1922,278.462
10-1922,220.932
11-1922,2.569
12-1922,4.171
01-1923,0.028
02-1923,52.227
03-1923,7.943
04-1923,262.439
05-1923,479.805
06-1923,1061.575
07-1923,492.987
08-1923,475.78
09-1923,246.066
10-1923,38.064
11-1923,9.432
12-1923,7.013
01-1924,5.383
02-1924,15.309
03-1924,3.897
04-1924,251.642
05-1924,433.032
06-1924,768.96
07-1924,861.089
08-1924,583.014
09-1924,534.049
10-1924,50.192
11-1924,124.039
12-1924,0.016
01-1925,7.054
02-1925,10.939
03-1925,43.307
04-1925,267.781
05-1925,780.157
06-1925,498.654
07-1925,767.368
08-1925,328.423
09-1925,393.367
10-1925,86.29
11-1925,2.767
12-1925,0.016
01-1926,14.478
02-1926,6.464
03-1926,186.599
04-1926,164.656
05-1926,287.011
06-1926,604.533
07-1926,704.232
08-1926,378.608
09-1926,184.384
10-1926,249.784
11-1926,3.622
12-1926,10.271
01-1927,31.288
02-1927,55.473
03-1927,87.774
04-1927,245.569
05-1927,300.376
06-1927,780.147
07-1927,652.926
08-1927,623.194
09-1927,639.003
10-1927,173.266
11-1927,22.941
12-1927,0.01
01-1928,9.264
02-1928,10.237
03-1928,33.215
04-1928,152.927
05-1928,693.13
06-1928,565.893
07-1928,479.735
08-1928,615.387
09-1928,244.557
10-1928,359.671
11-1928,18.661
12-1928,0.29
01-1929,15.625
02-1929,0.756
03-1929,96.342
04-1929,290.646
05-1929,836.249
06-1929,842.093
07-1929,509.44
08-1929,614.231
09-1929,253.846
10-1929,165.272
11-1929,11.609
12-1929,3.546
01-1930,9.005
